,name,total,uri
223,Blackpink's Quarantine Playlist via Billboard,8,spotify:playlist:32TVofo7Bwy10rfKOnORfw
224,Quarantine Radio,13,spotify:playlist:21zDyRxJ9FYKrZQCCqvAYD
225,quarantine playlist by sonakshi.m,135,spotify:playlist:0zqPWL2fg9eGa3iTSV8EWt
226,Hype it Up | Quarantine Hype Music,102,spotify:playlist:4DN1dQ1l8NjpLQwgWttcjR
227,Bailar en casa 2020 🎉🎶,152,spotify:playlist:6wGRWbSKGuyx5FmUqZ95ou
228,Quarantine Sha'atnez,450,spotify:playlist:5iigOiUaUFAi5bEethHHlX
229,nct soft songs to listen to during quarantine,54,spotify:playlist:6gOwfGDLmkc5ujzdUY8TMj
230,lofi hip hop beats to quarantine & social distance to | coronavirus pandemic,375,spotify:playlist:6zHrCyfjLpV6UKqTBzjLQ3
231,quarantine playlist,47,spotify:playlist:7w8UbivwkXeHrhwgiooFof
232,🔥Quarantine🔥,37,spotify:playlist:6i9pBRUvpdqgcKp7xhtDSz
233,"Goodbye Quarantine, Hello my love ",30,spotify:playlist:2mCyNdswvnveOUQxf1Aaac
234,Alex Delany Quarantine Albums,112,spotify:playlist:1RzooURo8Q2alUMuVWNWfa
235,Medieval ambient / Relaxing celtic music / fantasy music for DnD,322,spotify:playlist:1BLOLGL9q7SKCjmBODgdvM
236,Me & Quarantine,50,spotify:playlist:7pClTAhxvKiLzLtZ8h0Sfg
237,Hip Hop by Agus el Chef,68,spotify:playlist:5k5WfzgnfDszlaguEAi9Nq
238,Coronavirus quarantine,62,spotify:playlist:2RWk5UpMZsf9P8uZbqwF2Y
239,Quarantine,33,spotify:playlist:48AfjK2IKeT9MStYvpjTyb
240,COVID-19 QUARANTINE PARTY PLAYLIST,172,spotify:playlist:5Sw2qVuppKXXRKCevWGzlc
241,JAZZ FOR QUARANTINE,41,spotify:playlist:2v5Rv9dbkwInai9nYkEVqO
242,Music to be Quarantined by,39,spotify:playlist:1EmtVuQXOqccVCKw7QW6Fb
243,DJ D-Nice Quarantine Playlist - Day 1,99,spotify:playlist:4ZAM6PIlSYYfpsVapErrOT
244,Melodic Quarantine,68,spotify:playlist:04eu0Q29ZyW0zNDrs21TXG
245,quarantine country,433,spotify:playlist:5NFYje2FD9t8DlFriQA63S
246,Self Quarantine,47,spotify:playlist:3vk4Ym6CInOeTFW9QzJGdY
247,Let's enjoy the Quarantine.,173,spotify:playlist:4qc7CKuKZpevJA3Dyvrhf8
248,after quarantine ,78,spotify:playlist:35PSqPd6ijU6n8BzbJRUt6
249,lo-fi café - beats for relax / focus / quarantine.,80,spotify:playlist:6BCT0yP2teuvGgCpcZHE8y
250,quarantine workout,52,spotify:playlist:47B9phE96XXRFEApUih8cG
251,Quarantine Mood 💛,34,spotify:playlist:16UqS605TtzcTnbLrZ7iQQ
252,Quarantine Bops,42,spotify:playlist:4mfszaSp9bVAqQ4qQxRfLH
253,Music to be Quarantined By (Playlist From Eminem),36,spotify:playlist:7q3OxF6HgOGg1MP79A5uWd
254,FEEL GOOD QUARANTINE EDITION,65,spotify:playlist:605PlHBvMkzerAQ7KLijCm
255,quiet quarantine,20,spotify:playlist:3QjKvhwRsUBeZ141k5ohXP
