,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
508,spotify:track:24oBrG5SNXYV99zlBqkbB4,3,Say Hello 2 Heaven,1991-01-01,51,False,0.309,0.648,0,-9.973,1,0.0317,0.0773,0.0,0.371,0.327,148.068,audio_features,24oBrG5SNXYV99zlBqkbB4,https://api.spotify.com/v1/tracks/24oBrG5SNXYV99zlBqkbB4,https://api.spotify.com/v1/audio-analysis/24oBrG5SNXYV99zlBqkbB4,382467,3
509,spotify:track:5le0k7yvbMCHH2Xa1tEpAL,3,Billie Jean,2007-01-01,2,False,0.49,0.637,4,-4.637,0,0.0468,0.601,0.000334,0.137,0.411,137.921,audio_features,5le0k7yvbMCHH2Xa1tEpAL,https://api.spotify.com/v1/tracks/5le0k7yvbMCHH2Xa1tEpAL,https://api.spotify.com/v1/audio-analysis/5le0k7yvbMCHH2Xa1tEpAL,281333,3
510,spotify:track:7r9ZTgy31yObGZE6ZYDlQg,3,Be Yourself,2005-01-01,3,False,0.423,0.845,11,-3.509,0,0.0559,0.143,5.07e-06,0.213,0.317,116.602,audio_features,7r9ZTgy31yObGZE6ZYDlQg,https://api.spotify.com/v1/tracks/7r9ZTgy31yObGZE6ZYDlQg,https://api.spotify.com/v1/audio-analysis/7r9ZTgy31yObGZE6ZYDlQg,278973,4
511,spotify:track:4HHIVS7mHAXqXVebo3k5Um,4,"You Know My Name - From ""Casino Royale"" Soundtrack",2007-01-01,4,False,0.371,0.86,11,-3.263,0,0.0464,0.0226,0.0,0.316,0.376,137.405,audio_features,4HHIVS7mHAXqXVebo3k5Um,https://api.spotify.com/v1/tracks/4HHIVS7mHAXqXVebo3k5Um,https://api.spotify.com/v1/audio-analysis/4HHIVS7mHAXqXVebo3k5Um,240120,4
515,spotify:track:7rvdvlRSnbRziNLZl4SiR7,3,"Call Me A Dog - Recorded Live At Queen Elizabeth Theatre, Toronto, ON on April 20, 2011",2011-01-01,1,False,0.364,0.418,7,-3.822,1,0.0282,0.428,0.0,0.99,0.204,97.318,audio_features,7rvdvlRSnbRziNLZl4SiR7,https://api.spotify.com/v1/tracks/7rvdvlRSnbRziNLZl4SiR7,https://api.spotify.com/v1/audio-analysis/7rvdvlRSnbRziNLZl4SiR7,291680,4
518,spotify:track:76Aq9dbflU3fLLIDzTzA46,5,"I Am The Highway - Recorded Live At Queen Elizabeth Theatre, Toronto, ON on April 20, 2011",2011-01-01,1,False,0.272,0.324,9,-4.286,0,0.0288,0.579,0.0,0.871,0.0844,78.047,audio_features,76Aq9dbflU3fLLIDzTzA46,https://api.spotify.com/v1/tracks/76Aq9dbflU3fLLIDzTzA46,https://api.spotify.com/v1/audio-analysis/76Aq9dbflU3fLLIDzTzA46,296707,3
524,spotify:track:2rYENPpgARh4YL0zHpmw97,4,"Like A Stone - Recorded Live At Queen Elizabeth Theatre, Toronto, ON on April 20, 2011",2011-01-01,2,False,0.332,0.303,9,-4.078,0,0.0376,0.707,0.0,0.726,0.379,73.09,audio_features,2rYENPpgARh4YL0zHpmw97,https://api.spotify.com/v1/tracks/2rYENPpgARh4YL0zHpmw97,https://api.spotify.com/v1/audio-analysis/2rYENPpgARh4YL0zHpmw97,244253,4
525,spotify:track:2fcH6CqwHyoOxUgy9E2T0Z,4,"Black Hole Sun - Recorded Live At Red Robinson Show Theatre, Vancouver, Canada on April 30, 2011",2011-01-01,2,False,0.438,0.417,0,-4.839,1,0.0293,0.726,0.0,0.967,0.157,124.376,audio_features,2fcH6CqwHyoOxUgy9E2T0Z,https://api.spotify.com/v1/tracks/2fcH6CqwHyoOxUgy9E2T0Z,https://api.spotify.com/v1/audio-analysis/2fcH6CqwHyoOxUgy9E2T0Z,277733,4
527,spotify:track:0HfrglTRs1z0YAWqDGH1Yl,4,"Can't Change Me - Recorded Live At Queen Elizabeth Theatre, Toronto, ON on April 20, 2011",2011-01-01,0,False,0.41,0.426,2,-4.218,0,0.0331,0.415,0.0,0.72,0.277,103.354,audio_features,0HfrglTRs1z0YAWqDGH1Yl,https://api.spotify.com/v1/tracks/0HfrglTRs1z0YAWqDGH1Yl,https://api.spotify.com/v1/audio-analysis/0HfrglTRs1z0YAWqDGH1Yl,220173,4
530,spotify:track:2uDwRgwGPjXq0oj0hNCuFc,3,Shadow on the Sun,2002-11-17,57,False,0.329,0.658,9,-5.57,1,0.0373,0.00108,1.56e-06,0.0805,0.288,141.123,audio_features,2uDwRgwGPjXq0oj0hNCuFc,https://api.spotify.com/v1/tracks/2uDwRgwGPjXq0oj0hNCuFc,https://api.spotify.com/v1/audio-analysis/2uDwRgwGPjXq0oj0hNCuFc,343400,4
531,spotify:track:2tkyEHSkv0I3l4OkBe1FnO,3,Spoonman,1994-03-09,6,False,0.256,0.909,0,-5.6,1,0.0394,1.86e-05,0.34,0.28,0.83,186.649,audio_features,2tkyEHSkv0I3l4OkBe1FnO,https://api.spotify.com/v1/tracks/2tkyEHSkv0I3l4OkBe1FnO,https://api.spotify.com/v1/audio-analysis/2tkyEHSkv0I3l4OkBe1FnO,246920,4
534,spotify:track:1L94M3KIu7QluZe63g64rv,3,Alive,1991-08-27,76,False,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,audio_features,1L94M3KIu7QluZe63g64rv,https://api.spotify.com/v1/tracks/1L94M3KIu7QluZe63g64rv,https://api.spotify.com/v1/audio-analysis/1L94M3KIu7QluZe63g64rv,340907,4
535,spotify:track:1TDk2Jmi4dVZhm2dum3Jim,5,Cochise,2002-11-17,68,False,0.452,0.873,9,-4.867,1,0.0613,0.000519,0.0,0.0592,0.433,80.473,audio_features,1TDk2Jmi4dVZhm2dum3Jim,https://api.spotify.com/v1/tracks/1TDk2Jmi4dVZhm2dum3Jim,https://api.spotify.com/v1/audio-analysis/1TDk2Jmi4dVZhm2dum3Jim,222027,4
