,acousticness,analysis_url,count,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,time_signature,track_href,type,uri,valence
8712,0.0839,https://api.spotify.com/v1/audio-analysis/5CMjjywI0eZMixPeqNd75R,18,0.832,353893,0.659,False,5CMjjywI0eZMixPeqNd75R,0.00114,10,0.0753,-7.828,0,Lose Yourself to Dance (feat. Pharrell Williams),70,2013-05-17,0.057,100.163,4,https://api.spotify.com/v1/tracks/5CMjjywI0eZMixPeqNd75R,audio_features,spotify:track:5CMjjywI0eZMixPeqNd75R,0.674
8713,0.00346,https://api.spotify.com/v1/audio-analysis/2YWjW3wwQIBLNhxWKBQd16,18,0.723,176561,0.809,False,2YWjW3wwQIBLNhxWKBQd16,0.00123,7,0.565,-3.081,0,Lean On (feat. MØ & DJ Snake),75,2015-11-27,0.0625,98.007,4,https://api.spotify.com/v1/tracks/2YWjW3wwQIBLNhxWKBQd16,audio_features,spotify:track:2YWjW3wwQIBLNhxWKBQd16,0.274
8714,0.0102,https://api.spotify.com/v1/audio-analysis/1P49MJhU5vzttesFxw3dOM,5,0.807,180267,0.487,False,1P49MJhU5vzttesFxw3dOM,1.98e-06,9,0.0501,-10.456,1,Three Little Birds,17,1977-01-01,0.0758,148.491,4,https://api.spotify.com/v1/tracks/1P49MJhU5vzttesFxw3dOM,audio_features,spotify:track:1P49MJhU5vzttesFxw3dOM,0.651
8716,0.203,https://api.spotify.com/v1/audio-analysis/4NmE2ytXI8S2svTRSmEdpO,17,0.846,161963,0.631,False,4NmE2ytXI8S2svTRSmEdpO,0.0,5,0.455,-5.547,1,Small Talk,74,2019-08-09,0.1,115.999,4,https://api.spotify.com/v1/tracks/4NmE2ytXI8S2svTRSmEdpO,audio_features,spotify:track:4NmE2ytXI8S2svTRSmEdpO,0.602
8717,0.339,https://api.spotify.com/v1/audio-analysis/2XWjPtKdi5sucFYtVav07d,33,0.745,181900,0.693,False,2XWjPtKdi5sucFYtVav07d,0.0,2,0.123,-5.479,0,365,73,2019-02-14,0.034,98.039,4,https://api.spotify.com/v1/tracks/2XWjPtKdi5sucFYtVav07d,audio_features,spotify:track:2XWjPtKdi5sucFYtVav07d,0.248
8718,0.0165,https://api.spotify.com/v1/audio-analysis/10hMM5nsZQf66ldBlgWBfG,5,0.348,192987,0.652,False,10hMM5nsZQf66ldBlgWBfG,0.000264,3,0.33,-7.145,1,All For Us - from the HBO Original Series Euphoria,71,2019-08-04,0.0931,70.956,4,https://api.spotify.com/v1/tracks/10hMM5nsZQf66ldBlgWBfG,audio_features,spotify:track:10hMM5nsZQf66ldBlgWBfG,0.172
8720,0.0825,https://api.spotify.com/v1/audio-analysis/4WY3HyGXsWqjFRCVD6gnTe,7,0.655,244827,0.488,False,4WY3HyGXsWqjFRCVD6gnTe,1.16e-06,1,0.221,-9.17,1,Baby Boy (feat. Sean Paul),66,2003-06-24,0.22,91.025,4,https://api.spotify.com/v1/tracks/4WY3HyGXsWqjFRCVD6gnTe,audio_features,spotify:track:4WY3HyGXsWqjFRCVD6gnTe,0.791
8725,0.0662,https://api.spotify.com/v1/audio-analysis/7vWFaMq63AwkFDhS2OAg5u,14,0.816,307640,0.813,False,7vWFaMq63AwkFDhS2OAg5u,2.77e-06,6,0.602,-7.798,0,The Time (Dirty Bit),69,2010-01-01,0.0664,127.979,4,https://api.spotify.com/v1/tracks/7vWFaMq63AwkFDhS2OAg5u,audio_features,spotify:track:7vWFaMq63AwkFDhS2OAg5u,0.436
8726,0.197,https://api.spotify.com/v1/audio-analysis/24LS4lQShWyixJ0ZrJXfJ5,14,0.573,212560,0.929,False,24LS4lQShWyixJ0ZrJXfJ5,0.000112,8,0.0567,-3.942,0,Sweet Nothing (feat. Florence Welch),71,2012-10-29,0.109,127.934,4,https://api.spotify.com/v1/tracks/24LS4lQShWyixJ0ZrJXfJ5,audio_features,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,0.582
8730,0.00937,https://api.spotify.com/v1/audio-analysis/7KIbDUwumrpG5f30kEYW1v,7,0.648,213067,0.931,False,7KIbDUwumrpG5f30kEYW1v,0.0,1,0.752,-3.15,0,Pump It,6,2005-01-01,0.181,153.649,4,https://api.spotify.com/v1/tracks/7KIbDUwumrpG5f30kEYW1v,audio_features,spotify:track:7KIbDUwumrpG5f30kEYW1v,0.744
8735,0.199,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,25,0.798,202547,0.539,False,5Z3GHaZ6ec9bsiI5BenrbY,1.66e-05,1,0.165,-6.351,1,Young Dumb & Broke,82,2017-04-27,0.0421,136.949,4,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,audio_features,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,0.394
8742,0.0391,https://api.spotify.com/v1/audio-analysis/0mlAOSILGRys2IbvyOT5VJ,14,0.733,173800,0.897,False,0mlAOSILGRys2IbvyOT5VJ,0.0,0,0.117,-3.652,1,Échame La Culpa,74,2019-02-01,0.0389,96.006,4,https://api.spotify.com/v1/tracks/0mlAOSILGRys2IbvyOT5VJ,audio_features,spotify:track:0mlAOSILGRys2IbvyOT5VJ,0.649
